Dimension,Name,Adjective,Demonym
City,Amman,Ammani,Ammani
City,Ammon,Ammonite,Ammonite
City,Amparo,Amparense,Amparense
City,Amsterdam,Amsterdammer,Amsterdammer
City,Anchorage,Anchorageite,Anchorageite
City,Andong,"Andong, Andongite",Andongite
City,Ankara,Ankarite,Ankarite
City,Angeles,Angelino,Angelino
City,Angers,Anjou,Angevin
City,Annapolis,Annapolitan,Annapolitan
City,Antakya,"Antakyan, Antiochian","Antakyan, Antiochian"
City,Antalya,Antalyan,Antalyan
City,Aosta,"Aostan, Aostain","Aostan, Aostain"
City,Aqaba,Aqabawi,Aqabawi
City,Arequipa,"Arequipeño, Arequipeña","Arequipeño, Arequipeña"
City,Armagh,Armachian,Armachian
City,Armidale,Armidilian,Armidilian
City,Ashdod,Ashdodi,Ashdodi
City,Asheville,Ashevillain,Ashevillain
City,Ashkelon,Ashkelonian,Ashkelonian
City,Asmara,Asmaran,Asmaran
City,Asunción,Asunceno,Asunceno
City,Athens,"Athenian, Attic",Athenian
City,Atlanta,Atlantien,Atlantan
City,Auckland,Auckland,"Aucklander, Jafa"
City,Austin,Austonian,Austinite
City,Aydın,Aydinian,Aydinian
City,Bacolod,Bacolodnon,Bacolodnon
City,Baku,Bakuvian,Bakuvian
City,Balıkesir,Balikesirian,Balikesirian
City,Baltimore,Baltimorean,Baltimorean
City,Bandung,Bandungite,Bandungite
City,Bangalore,Bangalorean,Bangalorean
City,Bangkok,Bangkokian,Bangkokian
City,Barcelona,Barcelonian,Barcelonian
City,Barisal,Barisali,"Barisali, Borishali, Barisailla, Borishailla"
City,Basel,Basler,"Basler, Bebbi"
City,Bath,Bathonian,Bathonian
City,Baton Rouge,Baton Rougean,Baton Rougean
City,Bedford,Bedfordian,Bedfordian
City,Beersheba,Beersheban,Beersheban
City,"Beijing, Peking","Beijingese, Pekinese","Beijinger, Pekinese"
City,Beirut,Beiruti,Beiruti
City,Belfast,"Belfast, Belfastian","Belfastie, Belfaster, Belfastian, Belfastite"
City,Belford Roxo,Belforroxense,
City,Belo Horizonte,Belo-Horizontino,Belo-Horizontino
City,Belgrade,Belgradian,"Belgradian, Belgrader"
City,Bellinzona,Bellinzonese,
City,Benevento,Beneventan,Beneventan
City,Bengeo,Bengean,Bengean
City,Bergamo,Bergamasque,Bergamasque
City,Berlin,"Berliner, Berlinese",Berliner
City,Bern,Bernese,Bernese
City,Béziers,Bitterois,Bitterois
City,Birmingham,Brummie,Brummie
City,Birmingham,Birminghamian,"Birminghamian, Birminghamster, Ham'r"
City,Blackburn,Blackburnian,Blackburnian
City,Blois,,Blesois
City,Bnei Brak,Bnei Brakian,Bnei Brakian
City,Bodrum,Bodrumian,Bodrumite
City,Boise,Boisean,Boisean
City,Bologna,Bolognese,Bolognese
City,Bogotá,"Bogotano, Bogotana","Bogotano, Bogotana, Rolo, Rola"
City,Bolgatanga,Guruŋa,Guruŋa
City,Bolton,Boltonian,Boltonian
City,Bordeaux,Bordelais,Bordelais
City,Bossangoa,Bossangoan,Bossangoan
City,Boston,Bostonian,Bostonian
City,Bradford,Bradfordian,Bradfordian
City,Brasilia,Brasiliense,Brasiliense
City,Bratislava,Bratislavan,Bratislavan
City,Bremen,Bremer,Bremer
City,Brescia,Brescian,Brescian
City,Brighton,Brightonian,Brightonian
City,Brisbane,Brisbanian,"Brisbanite, Brisbanian, Brisvegan, Briswegian"
City,Bristol,Bristolian,Bristolian
City,Brussels,,"Bruxellois, Brusselaar, Brusseleir"
City,Bucaramanga,"Bumangués, Bumanguésa, Santandereano, Santandereana","Bumangués, Bumanguésa, Santandereano, Santandereana"
City,Bucharest,Bucharestian,Bucharester
City,Budapest,Budapesti,Budapester
City,City of Buenos Aires,Porteño,Porteño
City,Buffalo,Buffalonian,Buffalonian
City,Burlington,Burlingtonian,Burlingtonian
City,Bursa,Bursanese,Bursanese
City,Busan,"Busan, Busanian",Busanian
City,Cádiz,"Gaditano",Gaditano
City,Calais,Calais,Calaisiens
City,Cagayan de Oro,Cagayanon,Cagayanon
City,Cairns,Cairnsite,Cairnsite
City,Cairo,Cairene,Cairene
City,Calgary,Calgarian,Calgarian
City,Cali,Caleño,Caleño
City,Cambridge,Cantabrigian,Cantabrigian
City,Cambridge,Cantabrigian,Cantabrigian
City,Campinas,Campineiro,Campineiro
City,Campo Grande,Campo-grandense,campo-grandense
City,Canberra,Canberran,Canberran
City,Cape Town,Capetonian,Capetonian
City,Caracas,Caraquenian,"Caraqueño, Caraqueña"
City,Cardiff,Cardiffian,Cardiffian
City,Carlisle,Carlislian,Carlislian
City,Carson City,Carsonite,Carsonite
City,Cartagena,"Cartagenero, Cartagenera","Cartagenero, Cartagenera"
City,Carystus,Carystian,Christian
City,Casper,Casperite,Casperite
City,Castlecrag,Castlecragian,Cragman
City,Cebu,Cebuano,Cebuano
City,Changwon,"Changwon, Changwonian",Changwonian
City,Charleston,Charlestonian,Charlestonian
City,Charlotte,Charlottean,Charlottean
City,Chelmsford,Chelmsfordian,Chelmsfordian
City,Cheltenham,Cheltonian,Cheltonian
City,Chennai,Chennaite,Chennaite
City,Chester,Cestrian,Cestrian
City,Chesterfield,Cestrefeldian,Cestrefeldian
City,Cheyenne,Cheyenneite,Cheyenneite
City,Chiasso,Chiassese,
City,Chicago,Chicagoan,Chicagoan
City,Chichester,Cicestrian,Cicestrian
City,Chittagong,Chittagonian,"Chittagonian, Chottogrami, Chatigaiya, Sitainga, Chittagainga"
City,Christchurch,Cantabrian,Cantabrian
City,Cincinnati,Cincinnatian,Cincinnatian
City,Cleveland,Clevelander,Clevelander
City,Coimbatore,Coimbatoreian,Coimbatoreian
City,Colchester,Colchester,Colcestrian
City,Columbus,Columbusite,Columbusite
City,Copenhagen,Copenhagener,Copenhagener
City,Córdoba,"Cordobés, Cordobense",Cordobés
City,Corinth,Corinthian,Corinthian
City,Cork,Cork,"Corkonian, Leesider"
City,Coventry,Coventrian,Coventrian
City,Culiacán,Culichi,Cliché
City,Cusco,Cusco,"Cusqueño , Cusqueña , Cuzqueño , Cuzqueña "
City,"Kraków, Cracow","Krakovian, Cracovian","Krakovian, Cracovian"
City,Curitiba,Curitibano,Curitibano
City,Daegu,"Daegu, Daeguite",Daeguite
City,Dalaman,Dalamanian,Dalamanian
City,Dallas,Dallasite,Dallasite
City,Da Lat,Dalatese,Dalatese
City,Damascus,Damascene,Damascene
City,Darwin,Darwinian,Darwinian
City,Davao,Davaoeño,Davaoeño
City,Delhi,Delhiite,Delhiite
City,Denizli,Denizlian,Denizlian
City,Denver,"Denver, Mile High",Denverite
City,Derry,Derry,Derrian
City,Detroit,Detroiter,Detroiter
City,Devonport,Devonportian,Devonportian
City,Dhaka,Dhakai,"Dhakai, Dhakaiya, Dhakaite"
City,Diyarbakır,Diyarbakirian,Diyarbakirian
City,Dresden,Dresdener,Dresdener
City,Dublin,Dublin,"Dubliner, Dub"
City,Dubai,Dubaite,Dubaite
City,Duluth,Duluthian,Duluthian
City,Dundee,Dundonian,Dundonian
City,Dunedin,Dunedin,Dunedinite
